ID_api,Seasonal_mortality,Age,Activity,Beekeep_for,Qualif,Training,Coop_treat,Bee_population_size,Country,Apiary_Size,Production,Apiarist_book,Org_member,Continue,Breed,Chronic_Depop,ClinSign_Brood,ClinSign_Honeybees,H_Rate_ColMortality,H_Rate_HoneyMortality,OtherEvent,VarroaMites,QueenProblems,Management,Swarm_bought,Swarm_produced,Queen_bought,Queen_produced,Environment,VarroosisV2,ChronicParalysisV2,AmericanFoulbroodV2,NosemosisV2,EuropeanFoulbroodV2,Migration,Merger,Winter_Mortality_Class,Program
1015_A,0,3___45-65,Professional,3___More than 5 years,No,Yes,No,6___More than 300 colonies,GREECE,5__More than 50 colonies,01__Only honey,No,Yes,No,A. m. ccm,No,No,No,No,No,No,Yes,No,Livestock,4__More than 5 swarms bought,4__More than 10 swarms produced,4__More than 10 queens bought,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,2__1 - 5 %,First Year
1016_A,0,1___Less than 30,Hobby,3___More than 5 years,Yes,Yes,Yes,1___Less than 51 colonies,SLOVAKIA,4__21 - 50,02__Includes pollen production,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,3__6 - 10 swarms produced,3__6 - 10 queens bought,2__1 - 5 queen(s) produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Yes,No,1__No Mortality,First Year
1017_A,0,2___30-45,Hobby,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,SLOVAKIA,2__6 - 10,07__Other,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,2__1 - 5 swarm(s) produced,1__None,3__6 - 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,3__6 - 10 %,First Year
1019_A,0,3___45-65,Hobby,3___More than 5 years,Yes,Yes,Yes,1___Less than 51 colonies,SLOVAKIA,2__6 - 10,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,Yes,No,No,No,No,No,Livestock,1__None,2__1 - 5 swarm(s) produced,1__None,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1020_A,0,3___45-65,Hobby,3___More than 5 years,No,No,Yes,2___51 - 100,SLOVAKIA,5__More than 50 colonies,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,Yes,No,No,No,Yes,No,Livestock,4__More than 5 swarms bought,4__More than 10 swarms produced,1__None,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,Yes,No,1__No Mortality,First Year
1021_A,0,3___45-65,Hobby,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,POLAND,2__6 - 10,01__Only honey,No,Yes,Yes,A. m. carnica,Yes,Yes,No,Yes,No,No,Yes,No,Livestock,3__2 - 5 swarms bought,1__None,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,6__More than 51%,First Year
1022_A,0,4___Over 65,Hobby,3___More than 5 years,Yes,Yes,Yes,2___51 - 100,SLOVAKIA,5__More than 50 colonies,06__Includes swarms production,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,4__More than 10 swarms produced,4__More than 10 queens bought,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Yes,Yes,4__11 - 20 %,First Year
1023_A,0,3___45-65,Hobby,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,SLOVAKIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,1__None,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1024_A,0,3___45-65,Part_time,3___More than 5 years,No,No,Yes,3___101 - 150,SLOVAKIA,5__More than 50 colonies,02__Includes pollen production,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,3__6 - 10 swarms produced,1__None,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1025_A,0,2___30-45,Hobby,3___More than 5 years,No,No,Yes,1___Less than 51 colonies,SLOVAKIA,4__21 - 50,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,1__None,1__None,3__6 - 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,Yes,6__More than 51%,First Year
1026_A,0,3___45-65,Hobby,3___More than 5 years,Yes,Yes,No,1___Less than 51 colonies,GREECE,4__21 - 50,02__Includes pollen production,No,Yes,Yes,A. m. ccm,Yes,No,No,No,No,Yes,Yes,No,Production + Livestock,1__None,1__None,1__None,1__None,Wood,Not_Suffering,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,No,No,3__6 - 10 %,First Year
1027_A,5,2___30-45,Part_time,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,POLAND,4__21 - 50,01__Only honey,No,Yes,Yes,A. m. carnica,Yes,Yes,No,No,Yes,No,Yes,No,Livestock,4__More than 5 swarms bought,4__More than 10 swarms produced,4__More than 10 queens bought,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Yes,No,1__No Mortality,First Year
1028_A,0,3___45-65,Hobby,3___More than 5 years,No,No,Yes,1___Less than 51 colonies,POLAND,3__11 - 20,01__Only honey,No,Yes,Yes,A. m. carnica,No,Yes,No,Yes,No,No,No,No,Livestock,1__None,2__1 - 5 swarm(s) produced,1__None,2__1 - 5 queen(s) produced,Diverse,Suffering,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1029_A,0,3___45-65,Hobby,3___More than 5 years,Yes,Yes,No,1___Less than 51 colonies,GREECE,4__21 - 50,02__Includes pollen production,No,Yes,Yes,A. m. ccm,Yes,No,No,No,No,Yes,Yes,No,Production + Livestock,1__None,1__None,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1030_A,0,2___30-45,Part_time,3___More than 5 years,No,Yes,No,2___51 - 100,LATVIA,5__More than 50 colonies,06__Includes swarms production,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,Yes,No,No,Livestock,1__None,4__More than 10 swarms produced,1__None,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1031_A,0,3___45-65,Part_time,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,LATVIA,4__21 - 50,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,No,No,No,Livestock,1__None,4__More than 10 swarms produced,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,Not_Suffering,Yes,No,3__6 - 10 %,First Year
1032_A,0,3___45-65,Part_time,2___2-5 years,No,Yes,No,1___Less than 51 colonies,LATVIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,Hybrid,No,No,No,No,Yes,No,No,Yes,Livestock,4__More than 5 swarms bought,3__6 - 10 swarms produced,3__6 - 10 queens bought,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1035_A,0,4___Over 65,Hobby,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,LATVIA,4__21 - 50,06__Includes swarms production,Yes,Yes,Yes,Buckfast,No,No,No,No,No,No,Yes,No,Livestock,1__None,3__6 - 10 swarms produced,2__1 - 5 queen(s) bought,1__None,Diverse,Suffering,Not_Suffering,Suffering,Not_Suffering,Not_Suffering,Yes,Yes,5__21 - 50 %,First Year
1036_A,0,3___45-65,Hobby,2___2-5 years,No,Yes,No,1___Less than 51 colonies,LATVIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,Buckfast,No,No,No,No,Yes,No,No,No,Livestock,1__None,2__1 - 5 swarm(s) produced,3__6 - 10 queens bought,1__None,Diverse,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1037_A,0,4___Over 65,Professional,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,LATVIA,3__11 - 20,06__Includes swarms production,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,No,Yes,No,Livestock,1__None,2__1 - 5 swarm(s) produced,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,4__11 - 20 %,First Year
1038_A,0,2___30-45,Hobby,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,LATVIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,Buckfast,No,No,No,No,No,Yes,No,No,Livestock,1__None,2__1 - 5 swarm(s) produced,2__1 - 5 queen(s) bought,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Yes,Yes,4__11 - 20 %,First Year
1039_A,0,4___Over 65,Hobby,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,LATVIA,4__21 - 50,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,No,No,Yes,No,No,No,Yes,Livestock,1__None,4__More than 10 swarms produced,1__None,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,Yes,6__More than 51%,First Year
1040_A,0,4___Over 65,Hobby,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,LATVIA,2__6 - 10,02__Includes pollen production,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,Yes,No,No,No,Livestock,4__More than 5 swarms bought,2__1 - 5 swarm(s) produced,2__1 - 5 queen(s) bought,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1042_A,0,3___45-65,Hobby,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,LATVIA,2__6 - 10,06__Includes swarms production,No,Yes,Yes,A. m. mellifera,No,No,No,No,No,No,No,No,Livestock,1__None,3__6 - 10 swarms produced,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1043_A,0,4___Over 65,Hobby,3___More than 5 years,No,No,No,1___Less than 51 colonies,LATVIA,2__6 - 10,06__Includes swarms production,Yes,Yes,Yes,A. m. mellifera,No,Yes,No,No,Yes,No,Yes,Yes,Livestock,1__None,2__1 - 5 swarm(s) produced,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1045_A,19,3___45-65,Part_time,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,GREECE,4__21 - 50,01__Only honey,No,No,Yes,A. m. ccm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Livestock,1__None,1__None,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,4__11 - 20 %,First Year
1046_A,0,2___30-45,Hobby,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,LATVIA,3__11 - 20,02__Includes pollen production,Yes,Yes,Yes,Buckfast,No,No,No,No,No,No,No,No,Livestock,1__None,4__More than 10 swarms produced,2__1 - 5 queen(s) bought,3__6 - 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1047_A,0,2___30-45,Part_time,2___2-5 years,No,Yes,No,2___51 - 100,LATVIA,5__More than 50 colonies,01__Only honey,Yes,Yes,Yes,Buckfast,No,No,No,No,No,Yes,Yes,No,Livestock,4__More than 5 swarms bought,4__More than 10 swarms produced,2__1 - 5 queen(s) bought,1__None,Diverse,Suffering,Not_Suffering,Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1048_A,0,2___30-45,Hobby,2___2-5 years,No,Yes,No,1___Less than 51 colonies,LATVIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,Yes,No,No,Livestock,1__None,2__1 - 5 swarm(s) produced,2__1 - 5 queen(s) bought,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1049_A,0,3___45-65,Part_time,3___More than 5 years,No,Yes,No,2___51 - 100,LATVIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,Yes,No,No,No,Yes,No,No,Livestock,1__None,3__6 - 10 swarms produced,1__None,3__6 - 10 queens produced,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1050_A,0,2___30-45,Part_time,2___2-5 years,No,Yes,No,4___151 - 200,LATVIA,5__More than 50 colonies,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,No,No,No,Livestock,1__None,4__More than 10 swarms produced,1__None,4__More than 10 queens produced,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1051_A,14,2___30-45,Hobby,3___More than 5 years,No,No,No,1___Less than 51 colonies,LATVIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,Yes,No,No,Livestock,1__None,2__1 - 5 swarm(s) produced,1__None,1__None,Diverse,Suffering,Not_Suffering,Suffering,Not_Suffering,Not_Suffering,No,No,4__11 - 20 %,First Year
1052_A,0,2___30-45,Professional,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,LATVIA,3__11 - 20,02__Includes pollen production,Yes,Yes,Yes,A. m. ligustica,No,No,No,Yes,No,No,Yes,No,Livestock,1__None,3__6 - 10 swarms produced,1__None,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1054_A,0,4___Over 65,Hobby,3___More than 5 years,No,No,No,1___Less than 51 colonies,LATVIA,3__11 - 20,01__Only honey,No,Yes,Yes,A. m. mellifera,No,Yes,Yes,No,No,No,No,No,Livestock,1__None,1__None,1__None,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,4__11 - 20 %,First Year
1057_A,0,3___45-65,Professional,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,LATVIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,A. m. ccm,No,No,No,No,No,Yes,No,No,Livestock,1__None,1__None,3__6 - 10 queens bought,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Yes,No,1__No Mortality,First Year
1059_A,0,4___Over 65,Part_time,3___More than 5 years,No,Yes,No,2___51 - 100,LATVIA,5__More than 50 colonies,06__Includes swarms production,Yes,Yes,Yes,A. m. mellifera,No,Yes,Yes,Yes,No,No,Yes,No,Livestock,1__None,1__None,1__None,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1060_A,0,4___Over 65,Hobby,3___More than 5 years,No,No,No,1___Less than 51 colonies,LATVIA,1__Less than 5 colonies,02__Includes pollen production,No,Yes,Yes,A. m. mellifera,No,Yes,Yes,No,No,No,Yes,Yes,Livestock,1__None,1__None,1__None,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,6__More than 51%,First Year
1062_A,0,3___45-65,Hobby,3___More than 5 years,No,No,Yes,1___Less than 51 colonies,LATVIA,2__6 - 10,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,No,No,Yes,No,No,No,No,Livestock,1__None,1__None,1__None,1__None,Diverse,Suffering,Not_Suffering,Suffering,Not_Suffering,Not_Suffering,No,Yes,1__No Mortality,First Year
1068_A,0,4___Over 65,Professional,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,LATVIA,4__21 - 50,01__Only honey,No,Yes,Yes,A. m. mellifera,No,No,Yes,No,No,No,No,No,Livestock,1__None,1__None,1__None,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1072_A,0,3___45-65,Professional,3___More than 5 years,Yes,No,Yes,6___More than 300 colonies,GREECE,5__More than 50 colonies,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,No,No,No,Production + Livestock,1__None,4__More than 10 swarms produced,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1073_A,0,2___30-45,Part_time,2___2-5 years,Yes,No,No,3___101 - 150,GREECE,5__More than 50 colonies,01__Only honey,Yes,No,Yes,A. m. mellifera,No,No,No,No,No,No,No,No,Livestock,1__None,4__More than 10 swarms produced,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1074_A,15,3___45-65,Part_time,3___More than 5 years,No,No,No,1___Less than 51 colonies,GREECE,4__21 - 50,01__Only honey,No,Yes,Yes,A. m. mellifera,No,Yes,No,Yes,Yes,No,Yes,Yes,No Management,5__No Management,5__No Management,5__No Management,5__No Management,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,3__6 - 10 %,First Year
1076_A,0,3___45-65,Professional,3___More than 5 years,No,Yes,No,1___Less than 51 colonies,ESTONIA,4__21 - 50,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,Yes,No,No Management,5__No Management,5__No Management,5__No Management,5__No Management,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1077_A,0,4___Over 65,Professional,3___More than 5 years,No,No,No,6___More than 300 colonies,GREECE,5__More than 50 colonies,01__Only honey,No,Yes,No,A. m. ccm,Yes,No,Yes,Yes,Yes,No,Yes,No,Livestock,1__None,1__None,1__None,1__None,Flora,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1079_A,0,3___45-65,Hobby,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,POLAND,4__21 - 50,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,No,Yes,No,No,Yes,Yes,Livestock,1__None,4__More than 10 swarms produced,3__6 - 10 queens bought,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1080_A,0,3___45-65,Hobby,3___More than 5 years,No,No,Yes,1___Less than 51 colonies,POLAND,3__11 - 20,01__Only honey,No,Yes,Yes,A. m. carnica,Yes,No,No,Yes,No,No,No,No,Livestock,1__None,4__More than 10 swarms produced,2__1 - 5 queen(s) bought,4__More than 10 queens produced,Diverse,Suffering,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,Yes,No,5__21 - 50 %,First Year
1081_A,0,1___Less than 30,Professional,3___More than 5 years,Yes,No,No,3___101 - 150,GREECE,5__More than 50 colonies,01__Only honey,No,No,Yes,Local bees,Yes,No,Yes,Yes,Yes,No,No,No,Production + Livestock,1__None,4__More than 10 swarms produced,1__None,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,4__11 - 20 %,First Year
1082_A,0,3___45-65,Hobby,3___More than 5 years,No,No,Yes,1___Less than 51 colonies,ESTONIA,1__Less than 5 colonies,01__Only honey,Yes,No,Yes,Hybrid,No,No,No,No,No,No,No,Yes,No Management,5__No Management,5__No Management,5__No Management,5__No Management,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1083_A,0,4___Over 65,Hobby,3___More than 5 years,Yes,Yes,No,1___Less than 51 colonies,POLAND,3__11 - 20,01__Only honey,No,Yes,Yes,Hybrid,No,No,No,Yes,No,Yes,Yes,No,Production + Livestock,1__None,4__More than 10 swarms produced,1__None,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,6__More than 51%,First Year
1085_A,0,2___30-45,Professional,3___More than 5 years,Yes,No,No,5___201 - 300,GREECE,5__More than 50 colonies,07__Other,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,No,No,No,Livestock,1__None,4__More than 10 swarms produced,1__None,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1086_A,0,2___30-45,Hobby,1___Less than 2 years,No,No,No,1___Less than 51 colonies,ESTONIA,2__6 - 10,01__Only honey,No,No,Yes,A. m. ligustica,No,No,No,Yes,No,No,Yes,Yes,No Management,5__No Management,5__No Management,5__No Management,5__No Management,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,Yes,5__21 - 50 %,First Year
1087_A,0,3___45-65,Hobby,3___More than 5 years,Yes,Yes,No,1___Less than 51 colonies,POLAND,4__21 - 50,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,Yes,No,Yes,No,No,Yes,Yes,Livestock,1__None,4__More than 10 swarms produced,4__More than 10 queens bought,3__6 - 10 queens produced,Diverse,Suffering,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1088_A,0,2___30-45,Hobby,1___Less than 2 years,No,No,No,1___Less than 51 colonies,ESTONIA,3__11 - 20,01__Only honey,Yes,No,Yes,A. m. carnica,No,No,No,No,No,Yes,Yes,Yes,No Management,5__No Management,5__No Management,5__No Management,5__No Management,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1090_A,0,3___45-65,Hobby,3___More than 5 years,Yes,Yes,No,1___Less than 51 colonies,POLAND,3__11 - 20,01__Only honey,No,Yes,Yes,A. m. carnica,No,No,No,Yes,No,No,No,No,Livestock,1__None,1__None,4__More than 10 queens bought,1__None,Diverse,Suffering,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,No,No,3__6 - 10 %,First Year
